capacity,fitness,generation
2129.4117647058824,inf,0
3470.5882352941176,inf,0
4882.35294117647,inf,0
7282.35294117647,inf,0
1317.6470588235293,inf,0
3682.3529411764707,inf,0
1176.4705882352941,inf,0
4282.35294117647,inf,0
8658.823529411766,inf,0
2835.2941176470586,inf,0
7458.823529411765,inf,0
2800.0,inf,0
8305.882352941177,inf,0
4317.64705882353,inf,0
7000.0,inf,0
6258.823529411765,inf,0
4317.64705882353,inf,0
7952.941176470588,inf,0
9682.35294117647,inf,0
7176.470588235294,inf,0
3047.0588235294117,inf,0
7423.529411764706,inf,0
3823.529411764706,inf,0
2129.4117647058824,inf,0
7494.117647058823,inf,0
3823.529411764706,inf,0
3541.176470588235,inf,0
2941.176470588235,inf,0
3470.5882352941176,inf,0
3470.5882352941176,inf,0
8235.29411764706,inf,0
2800.0,inf,0
3470.5882352941176,inf,1
3470.5882352941176,inf,1
7988.235294117647,inf,1
3435.294117647059,inf,1
3682.3529411764707,inf,1
3470.5882352941176,inf,1
7282.35294117647,inf,1
7000.0,inf,1
6258.823529411765,inf,1
7458.823529411765,inf,1
4741.176470588235,inf,1
3682.3529411764707,inf,1
1176.4705882352941,inf,1
1176.4705882352941,inf,1
6611.764705882353,inf,1
4388.235294117647,inf,1
7952.941176470588,inf,1
3329.4117647058824,inf,1
2835.2941176470586,inf,1
7952.941176470588,inf,1
5411.764705882353,inf,1
6152.941176470588,inf,1
3400.0,inf,1
8023.529411764706,inf,1
4317.64705882353,inf,1
3682.3529411764707,inf,1
3470.5882352941176,inf,1
6258.823529411765,inf,1
7000.0,inf,1
3682.3529411764707,inf,1
7176.470588235294,inf,1
2800.0,inf,1
3752.9411764705883,inf,2
3400.0,inf,2
3541.176470588235,inf,2
3682.3529411764707,inf,2
6329.411764705882,inf,2
7741.176470588235,inf,2
4317.64705882353,inf,2
2835.2941176470586,inf,2
7458.823529411765,inf,2
2552.9411764705883,inf,2
4741.176470588235,inf,2
3682.3529411764707,inf,2
3470.5882352941176,inf,2
7000.0,inf,2
3682.3529411764707,inf,2
3470.5882352941176,inf,2
8023.529411764706,inf,2
3400.0,inf,2
3682.3529411764707,inf,2
4317.64705882353,inf,2
4000.0,inf,2
5941.176470588235,inf,2
7988.235294117647,inf,2
7952.941176470588,inf,2
6294.117647058823,inf,2
1035.2941176470588,inf,2
7000.0,inf,2
1176.4705882352941,inf,2
4811.764705882353,inf,2
6752.941176470588,inf,2
3470.5882352941176,inf,2
3329.4117647058824,inf,2
2305.8823529411766,inf,3
6611.764705882353,inf,3
3752.9411764705883,inf,3
2270.5882352941176,inf,3
1176.4705882352941,inf,3
6329.411764705882,inf,3
9647.058823529413,inf,3
6047.058823529412,inf,3
5800.0,inf,3
5482.35294117647,inf,3
6152.941176470588,inf,3
7141.176470588235,inf,3
3329.4117647058824,inf,3
6894.117647058823,inf,3
3752.9411764705883,inf,3
4247.058823529412,inf,3
3752.9411764705883,inf,3
6717.64705882353,inf,3
7988.235294117647,inf,3
6294.117647058823,inf,3
6329.411764705882,inf,3
7705.882352941177,inf,3
3752.9411764705883,inf,3
3964.705882352941,inf,3
8023.529411764706,inf,3
8023.529411764706,inf,3
2835.2941176470586,inf,3
3541.176470588235,inf,3
3400.0,inf,3
3541.176470588235,inf,3
8870.588235294119,inf,3
6823.529411764706,inf,3
8835.29411764706,inf,4
8023.529411764706,inf,4
3611.764705882353,inf,4
5941.176470588235,inf,4
2376.470588235294,inf,4
9823.529411764706,inf,4
8023.529411764706,inf,4
6152.941176470588,inf,4
1282.3529411764707,inf,4
5094.117647058823,inf,4
3505.8823529411766,inf,4
7917.64705882353,inf,4
9647.058823529413,inf,4
6329.411764705882,inf,4
6858.823529411765,inf,4
8023.529411764706,inf,4
3117.6470588235293,inf,4
6858.823529411765,inf,4
7741.176470588235,inf,4
3752.9411764705883,inf,4
2270.5882352941176,inf,4
7705.882352941177,inf,4
7388.235294117647,inf,4
8870.588235294119,inf,4
3470.5882352941176,inf,4
8305.882352941177,inf,4
5588.235294117647,inf,4
6929.411764705882,inf,4
1176.4705882352941,inf,4
8023.529411764706,inf,4
3329.4117647058824,inf,4
3400.0,inf,4
8023.529411764706,inf,5
2376.470588235294,inf,5
9717.64705882353,inf,5
7952.941176470588,inf,5
8200.0,inf,5
8694.117647058823,inf,5
8023.529411764706,inf,5
1176.4705882352941,inf,5
3505.8823529411766,inf,5
3117.6470588235293,inf,5
8305.882352941177,inf,5
8482.35294117647,inf,5
3752.9411764705883,inf,5
9823.529411764706,inf,5
8023.529411764706,inf,5
8023.529411764706,inf,5
8270.588235294119,inf,5
6152.941176470588,inf,5
8411.764705882353,inf,5
1494.1176470588234,inf,5
6576.470588235294,inf,5
5517.64705882353,inf,5
7741.176470588235,inf,5
9647.058823529413,inf,5
7917.64705882353,inf,5
3752.9411764705883,inf,5
5623.529411764706,inf,5
7988.235294117647,inf,5
7458.823529411765,inf,5
3435.294117647059,inf,5
8023.529411764706,inf,5
6929.411764705882,inf,5
3435.294117647059,inf,6
5623.529411764706,inf,6
6894.117647058823,inf,6
1635.2941176470588,inf,6
8235.29411764706,inf,6
9717.64705882353,inf,6
3505.8823529411766,inf,6
8023.529411764706,inf,6
3505.8823529411766,inf,6
7917.64705882353,inf,6
4635.2941176470595,inf,6
8588.235294117647,inf,6
5694.117647058823,inf,6
5129.411764705882,inf,6
8023.529411764706,inf,6
7952.941176470588,inf,6
6894.117647058823,inf,6
1635.2941176470588,inf,6
5517.64705882353,inf,6
5623.529411764706,inf,6
9117.64705882353,inf,6
3435.294117647059,inf,6
3682.3529411764707,inf,6
3611.764705882353,inf,6
7952.941176470588,inf,6
3752.9411764705883,inf,6
8023.529411764706,inf,6
7952.941176470588,inf,6
8694.117647058823,inf,6
3752.9411764705883,inf,6
7917.64705882353,inf,6
8023.529411764706,inf,6
3505.8823529411766,inf,7
8023.529411764706,inf,7
7952.941176470588,inf,7
3505.8823529411766,inf,7
3964.705882352941,inf,7
8305.882352941177,inf,7
7988.235294117647,inf,7
1564.7058823529412,inf,7
4564.7058823529405,inf,7
8517.64705882353,inf,7
3717.6470588235293,inf,7
8129.411764705882,inf,7
3682.3529411764707,inf,7
3435.294117647059,inf,7
8905.882352941177,inf,7
5729.411764705882,inf,7
7917.64705882353,inf,7
3788.235294117647,inf,7
8200.0,inf,7
3329.4117647058824,inf,7
3505.8823529411766,inf,7
5623.529411764706,inf,7
7952.941176470588,inf,7
3435.294117647059,inf,7
4635.2941176470595,inf,7
4635.2941176470595,inf,7
8023.529411764706,inf,7
7952.941176470588,inf,7
9823.529411764706,inf,7
1635.2941176470588,inf,7
3435.294117647059,inf,7
8694.117647058823,inf,7
1564.7058823529412,inf,8
8976.470588235294,inf,8
8200.0,inf,8
7952.941176470588,inf,8
3964.705882352941,inf,8
9823.529411764706,inf,8
3894.1176470588234,inf,8
1458.8235294117646,inf,8
7952.941176470588,inf,8
3435.294117647059,inf,8
9082.35294117647,inf,8
1211.764705882353,inf,8
9047.058823529413,inf,8
3294.1176470588234,inf,8
3505.8823529411766,inf,8
5729.411764705882,inf,8
7917.64705882353,inf,8
3505.8823529411766,inf,8
3505.8823529411766,inf,8
7952.941176470588,inf,8
7847.058823529412,inf,8
9929.411764705883,inf,8
3505.8823529411766,inf,8
5729.411764705882,inf,8
8305.882352941177,inf,8
3682.3529411764707,inf,8
3576.470588235294,inf,8
3400.0,inf,8
5517.64705882353,inf,8
9011.764705882353,inf,8
3329.4117647058824,inf,8
3505.8823529411766,inf,8
3611.764705882353,inf,9
3964.705882352941,inf,9
3400.0,inf,9
9329.411764705883,inf,9
3505.8823529411766,inf,9
9082.35294117647,inf,9
7952.941176470588,inf,9
9929.411764705883,inf,9
3400.0,inf,9
3505.8823529411766,inf,9
3470.5882352941176,inf,9
5694.117647058823,inf,9
3964.705882352941,inf,9
3541.176470588235,inf,9
1282.3529411764707,inf,9
8588.235294117647,inf,9
3400.0,inf,9
7952.941176470588,inf,9
8976.470588235294,inf,9
1211.764705882353,inf,9
3894.1176470588234,inf,9
5517.64705882353,inf,9
7847.058823529412,inf,9
7917.64705882353,inf,9
3329.4117647058824,inf,9
3505.8823529411766,inf,9
4070.5882352941176,inf,9
3329.4117647058824,inf,9
3505.8823529411766,inf,9
3541.176470588235,inf,9
1211.764705882353,inf,9
8482.35294117647,inf,9
8623.529411764706,inf,10
4529.411764705883,inf,10
3400.0,inf,10
7917.64705882353,inf,10
3470.5882352941176,inf,10
1247.0588235294117,inf,10
3400.0,inf,10
9011.764705882353,inf,10
4070.5882352941176,inf,10
5517.64705882353,inf,10
3400.0,inf,10
5623.529411764706,inf,10
1423.5294117647059,inf,10
9188.235294117647,inf,10
4070.5882352941176,inf,10
3505.8823529411766,inf,10
8023.529411764706,inf,10
1776.4705882352941,inf,10
3929.4117647058824,inf,10
1423.5294117647059,inf,10
3541.176470588235,inf,10
5517.64705882353,inf,10
9082.35294117647,inf,10
3400.0,inf,10
8976.470588235294,inf,10
3400.0,inf,10
3470.5882352941176,inf,10
3611.764705882353,inf,10
1211.764705882353,inf,10
3505.8823529411766,inf,10
3435.294117647059,inf,10
3470.5882352941176,inf,10
7988.235294117647,inf,11
3505.8823529411766,inf,11
7988.235294117647,inf,11
3400.0,inf,11
3400.0,inf,11
3541.176470588235,inf,11
9152.941176470587,inf,11
7952.941176470588,inf,11
5517.64705882353,inf,11
5517.64705882353,inf,11
5623.529411764706,inf,11
5517.64705882353,inf,11
1070.5882352941176,inf,11
3788.235294117647,inf,11
4035.294117647059,inf,11
1105.8823529411766,inf,11
1176.4705882352941,inf,11
7988.235294117647,inf,11
3400.0,inf,11
3400.0,inf,11
4529.411764705883,inf,11
3470.5882352941176,inf,11
3470.5882352941176,inf,11
3505.8823529411766,inf,11
1211.764705882353,inf,11
4070.5882352941176,inf,11
5200.0,inf,11
7847.058823529412,inf,11
5694.117647058823,inf,11
3258.823529411765,inf,11
5658.823529411765,inf,11
4741.176470588235,inf,11
3470.5882352941176,inf,12
3400.0,inf,12
3470.5882352941176,inf,12
1141.1764705882354,inf,12
3541.176470588235,inf,12
5517.64705882353,inf,12
3788.235294117647,inf,12
1211.764705882353,inf,12
4529.411764705883,inf,12
3788.235294117647,inf,12
1070.5882352941176,inf,12
3788.235294117647,inf,12
5517.64705882353,inf,12
3400.0,inf,12
3258.823529411765,inf,12
1211.764705882353,inf,12
3258.823529411765,inf,12
4035.294117647059,inf,12
7776.470588235294,inf,12
3470.5882352941176,inf,12
4035.294117647059,inf,12
9152.941176470587,inf,12
1211.764705882353,inf,12
5517.64705882353,inf,12
7917.64705882353,inf,12
3470.5882352941176,inf,12
7847.058823529412,inf,12
7988.235294117647,inf,12
1070.5882352941176,inf,12
7917.64705882353,inf,12
7882.35294117647,inf,12
6894.117647058823,inf,12
3400.0,inf,13
7847.058823529412,inf,13
1211.764705882353,inf,13
1070.5882352941176,inf,13
4529.411764705883,inf,13
3400.0,inf,13
7882.35294117647,inf,13
1211.764705882353,inf,13
1141.1764705882354,inf,13
3470.5882352941176,inf,13
5941.176470588235,inf,13
3364.705882352941,inf,13
1211.764705882353,inf,13
9152.941176470587,inf,13
3505.8823529411766,inf,13
3541.176470588235,inf,13
5517.64705882353,inf,13
3258.823529411765,inf,13
3505.8823529411766,inf,13
3752.9411764705883,inf,13
5517.64705882353,inf,13
3400.0,inf,13
3788.235294117647,inf,13
3258.823529411765,inf,13
3470.5882352941176,inf,13
1211.764705882353,inf,13
9152.941176470587,inf,13
1211.764705882353,inf,13
3470.5882352941176,inf,13
3258.823529411765,inf,13
3470.5882352941176,inf,13
5517.64705882353,inf,13
2270.5882352941176,inf,14
3400.0,inf,14
3788.235294117647,inf,14
3258.823529411765,inf,14
3682.3529411764707,inf,14
3258.823529411765,inf,14
3505.8823529411766,inf,14
5517.64705882353,inf,14
7882.35294117647,inf,14
3541.176470588235,inf,14
